call,condition,input_tokens,output_tokens,cost_usd
1,Baseline,195498,4096,0.647934
2,Baseline,169117,4096,0.568791
3,Baseline,151694,4096,0.516522
4,Baseline,144429,4096,0.494727
5,Baseline,138003,4096,0.475449
6,Baseline,130879,4096,0.454077
7,Baseline,123906,4096,0.433158
8,Baseline,113217,4096,0.401091
9,Baseline,106071,4096,0.379653
10,Baseline,98577,4096,0.357171
11,Baseline,91642,4096,0.336366
12,Baseline,83565,4096,0.312135
13,Baseline,75242,4096,0.287166
14,Baseline,67563,4096,0.264129
15,Baseline,57984,3509,0.226587
16,Baseline,51614,3571,0.208407
17,Baseline,46355,2701,0.17958
18,Baseline,23591,780,0.082473
1,BioPLEASE,34997,784,0.116751
2,BioPLEASE,32162,3763,0.152931
3,BioPLEASE,32103,1640,0.120909
4,BioPLEASE,26133,685,0.088674
5,BioPLEASE,26030,51,0.078855
6,BioPLEASE,19563,4096,0.120129
7,BioPLEASE,24187,2993,0.117456
8,BioPLEASE,31013,3,0.093084
9,BioPLEASE,26387,820,0.091461
10,BioPLEASE,24091,554,0.080583
11,BioPLEASE,23924,13,0.071967
12,BioPLEASE,13968,4096,0.103344
13,BioPLEASE,16476,1904,0.077988
14,BioPLEASE,16887,572,0.059241
