call_index,condition,input_tokens
1,Baseline,195498
2,Baseline,169117
3,Baseline,151694
4,Baseline,144429
5,Baseline,138003
6,Baseline,130879
7,Baseline,123906
8,Baseline,113217
9,Baseline,106071
10,Baseline,98577
11,Baseline,91642
12,Baseline,83565
13,Baseline,75242
14,Baseline,67563
15,Baseline,57984
16,Baseline,51614
17,Baseline,46355
18,Baseline,23591
1,BioPLEASE,19896
2,BioPLEASE,22101
3,BioPLEASE,24572
4,BioPLEASE,26506
5,BioPLEASE,28722
6,BioPLEASE,30262
7,BioPLEASE,32009
8,BioPLEASE,33782
9,BioPLEASE,35821
10,BioPLEASE,37029
11,BioPLEASE,38754
12,BioPLEASE,40504
13,BioPLEASE,41687
14,BioPLEASE,43176
15,BioPLEASE,44624
16,BioPLEASE,46555
17,BioPLEASE,48980
18,BioPLEASE,51845
