field,in_supporting_artifact,in_bioplease_beta,core_12_field
state_id,True,True,True
phase,True,True,True
iteration,True,True,True
project_id,True,True,True
timestamp_start,True,True,True
timestamp_end,True,True,True
original_task,True,True,False
plan_output,True,True,True
learn_output,True,True,True
execute_output,True,True,True
mini_share_output,True,True,False
assess_output,True,True,True
share_output,True,True,True
long_term_memory,True,True,True
plan_document_link,True,True,False
learning_resources,True,True,False
execution_logs_links,True,True,False
execution_metrics,True,True,False
share_documents,True,True,False
share_notion_links,True,True,False
share_commit_hashes,True,True,False
assessment_scores,True,True,False
assessment_recommendations,True,True,False
age_scores,True,True,False
expense_summary,True,True,False
cost_budget,True,True,False
rescue_incidents,True,True,False
previous_states,True,True,False
